attacker_name,victim_name,gamma,min_victim_regret,mean_victim_regret,max_victim_regret,std_victim_regret,min_target_arm_picks,mean_target_arm_picks,max_target_arm_picks,min_target_arm_picks_(last_1000_steps),mean_target_arm_picks_(last_1000_steps),max_target_arm_picks_(last_1000_steps),best_seed,worst_seed
vanilla,ucb,-,234.5353483780549,234.53534837805492,234.5353483780549,2.842170943040401e-14,2.3666666666666667,2.3666666666666667,2.3666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,0
vanilla,exp3,-,2626.4177538541126,2626.4177538541126,2626.4177538541126,0.0,41.53333333333333,41.533333333333324,41.53333333333333,0.0,0.0,0.0,0,0
random,ucb,-,341.8434701396989,398.36140037314146,504.7526058167147,41.90333877456431,2.033333333333333,2.4166666666666665,2.6666666666666665,0.0,0.016666666666666666,0.06666666666666667,5,0
random,exp3,-,2813.963089755489,3517.911544329517,4288.979155822227,416.65565194636355,40.8,58.36333333333333,135.23333333333332,0.0,0.006666666666666666,0.06666666666666667,0,1
a2c,ucb,0.99,207.1241836965068,224.6571510649382,236.72300151698656,10.10560351673694,2.066666666666667,2.19,2.433333333333333,0.0,0.013333333333333332,0.03333333333333333,3,4
a2c,ucb,1,224.79192284548327,229.27240073947547,241.7818759456397,4.664917744697033,2.033333333333333,2.1933333333333334,2.433333333333333,0.0,0.023333333333333334,0.06666666666666667,3,0
a2c,exp3,0.99,2102.058500391774,2719.3268204625683,6253.9459578672495,1199.5716188399392,37.5,40.00333333333333,41.6,0.0,0.003333333333333333,0.03333333333333333,1,3
a2c,exp3,1,2061.9908173301455,2249.0531748715316,3370.51808068129,375.3423819426923,37.3,40.36666666666667,42.46666666666667,0.0,0.006666666666666666,0.03333333333333333,9,4
ddpg,ucb,0.99,76.63818074481954,714.1100172266725,2173.675843229598,609.3837533585951,1.0333333333333334,2.003333333333334,4.7,0.0,0.013333333333333332,0.13333333333333333,7,8
ddpg,ucb,1,215.3991521583692,575.4795447342176,2309.504648426605,602.6965613147744,1.0,2.776666666666667,5.933333333333334,0.0,0.02,0.13333333333333333,6,4
ddpg,exp3,0.99,2125.810396625699,3102.6260061067055,5840.35276632654,1038.968458303003,36.4,43.88666666666667,57.8,0.0,0.23333333333333334,1.0,9,0
ddpg,exp3,1,2426.9960371397588,3790.190375702553,5948.613236653725,1376.656340672763,36.7,102.52333333333334,595.0,0.0,6.953333333333335,66.66666666666667,7,2
sac,ucb,0.99,217.67284838859442,996.5953812509939,2340.4667721089404,772.5049095170658,1.1,2.606666666666667,7.533333333333333,0.0,0.026666666666666665,0.13333333333333333,0,5
sac,ucb,1,219.80701496268543,954.8968968231972,3549.052145686347,1115.6691793902082,1.0,2.3466666666666667,5.333333333333333,0.0,0.01,0.06666666666666667,5,4
sac,exp3,0.99,2311.6237763923564,3991.090920791782,7681.3048955435015,1927.6597005881936,37.63333333333333,96.07000000000001,302.1333333333333,0.0,6.783333333333334,33.333333333333336,6,3
sac,exp3,1,2525.6763180345442,3760.813696842991,6710.152916910719,1333.453275544688,39.3,92.17333333333333,489.1,0.0,4.583333333333334,41.733333333333334,9,7
